Contig ID,Size,Lhav_ech1,Lhav F RPKM
Lhav_v2_contig_10234,499,3429,75.47229675
Lhav_v2_contig_10235,716,114,1.748688508
Lhav_v2_contig_10236,2981,1875,6.908120796
Lhav_v2_contig_10237,294,4,0.149428449
Lhav_v2_contig_10238,3245,269,0.910454414
Lhav_v2_contig_10239,768,1248,17.84736035
Lhav_v2_contig_1024,847,5388,69.86582693
Lhav_v2_contig_10240,891,78,0.961473958
Lhav_v2_contig_10241,972,5236,59.16351932
Lhav_v2_contig_10242,2357,375,1.747399923
Lhav_v2_contig_10243,1419,70,0.541796595
Lhav_v2_contig_10244,860,9952,127.0961933
Lhav_v2_contig_10245,477,244,5.618133752
Lhav_v2_contig_10246,3310,5665,18.79717339
Lhav_v2_contig_10247,376,837,24.44883897
Lhav_v2_contig_10248,557,62,1.222523233
Lhav_v2_contig_10249,322,968,33.01719028
Lhav_v2_contig_1025,2000,7546,41.43882498
Lhav_v2_contig_10250,1647,7613,50.76715868
Lhav_v2_contig_10251,258,1092,46.48614788
Lhav_v2_contig_10252,1423,1837,14.17832357
Lhav_v2_contig_10253,1742,2380,15.00546414
Lhav_v2_contig_10254,2370,4678,21.67866321
Lhav_v2_contig_10255,778,794,11.20886226
Lhav_v2_contig_10256,1307,1573,13.21824393
Lhav_v2_contig_10257,2784,7286,28.74356045
Lhav_v2_contig_10258,1534,579,4.145470521
Lhav_v2_contig_10259,395,78,2.168793156
Lhav_v2_contig_1026,419,889,23.3028138
Lhav_v2_contig_10260,1214,726,6.568081922
Lhav_v2_contig_10261,1317,2917,24.32603242
Lhav_v2_contig_10262,1134,1556,15.07013577
Lhav_v2_contig_10263,460,11394,272.0439114
Lhav_v2_contig_10264,478,110,2.527466544
Lhav_v2_contig_10265,3807,1905,5.495822911
Lhav_v2_contig_10266,1080,5710,58.0674801
Lhav_v2_contig_10267,218,614,30.93374524
Lhav_v2_contig_10268,1758,3079,19.23585281
Lhav_v2_contig_10269,2702,2505,10.18223257
Lhav_v2_contig_1027,2492,1753,7.725996466
Lhav_v2_contig_10270,2985,1636,6.019488525
Lhav_v2_contig_10271,487,1060,23.90548345
Lhav_v2_contig_10272,1350,2419,19.67989273
Lhav_v2_contig_10273,1311,1150,9.634202616
Lhav_v2_contig_10274,356,886,27.33407306
Lhav_v2_contig_10275,356,654,20.17661827
Lhav_v2_contig_10276,1713,6072,38.93095227
Lhav_v2_contig_10277,415,8213,217.3573613
Lhav_v2_contig_10278,3049,3183,11.46568065
Lhav_v2_contig_10279,847,269,3.488104574
Lhav_v2_contig_1028,1789,2610,16.02325683
Lhav_v2_contig_10280,1039,820,8.668000583
Lhav_v2_contig_10281,1946,3428,19.34722152
Lhav_v2_contig_10282,736,2056,30.68074655
Lhav_v2_contig_10283,775,39,0.552692449
Lhav_v2_contig_10284,515,546,11.64410306
Lhav_v2_contig_10285,782,679,9.536382196
Lhav_v2_contig_10286,1271,1435,12.40015111
Lhav_v2_contig_10287,1107,2948,29.24829035
Lhav_v2_contig_10288,4978,5285,11.66032691
Lhav_v2_contig_10289,718,270,4.130094102
Lhav_v2_contig_1029,1889,2171,12.62259048
Lhav_v2_contig_10290,215,906,46.28181316
Lhav_v2_contig_10291,253,302,13.11013153
Lhav_v2_contig_10292,1309,1218,10.21946755
Lhav_v2_contig_10293,474,1329,30.79408231
Lhav_v2_contig_10294,399,555,15.27709272
Lhav_v2_contig_10295,430,276,7.0495477
Lhav_v2_contig_10296,1300,3172,26.798498
Lhav_v2_contig_10297,1994,82,0.451657603
Lhav_v2_contig_10298,2333,2712,12.7671974
Lhav_v2_contig_10299,1753,2258,14.14694446
Lhav_v2_contig_103,5982,11885,21.82093745
Lhav_v2_contig_1030,2383,12243,56.42667167
Lhav_v2_contig_10300,1331,439,3.622489137
Lhav_v2_contig_10301,819,2187,29.32820669
Lhav_v2_contig_10302,1702,1970,12.71239262
Lhav_v2_contig_10303,1347,1084,8.838576262
Lhav_v2_contig_10304,553,135,2.68120033
Lhav_v2_contig_10305,253,4136,179.5480265
Lhav_v2_contig_10306,853,2565,33.02622728
Lhav_v2_contig_10307,813,3908,52.79400831
Lhav_v2_contig_10308,516,461,9.812323339
Lhav_v2_contig_10309,3654,2877,8.647527383
Lhav_v2_contig_1031,837,16510,216.6417935
Lhav_v2_contig_10310,1633,1413,9.503347372
Lhav_v2_contig_10311,1324,5,0.041476552
Lhav_v2_contig_10312,405,35,0.949147369
Lhav_v2_contig_10313,819,1387,18.60001037
Lhav_v2_contig_10314,769,149,2.128043766
Lhav_v2_contig_10315,1723,2285,14.56537109
Lhav_v2_contig_10316,1335,3361,27.650811
Lhav_v2_contig_10317,783,807,11.31963438
Lhav_v2_contig_10318,566,1171,22.7227605
Lhav_v2_contig_10319,1934,698,3.963871616
Lhav_v2_contig_1032,1509,8292,60.35186297
Lhav_v2_contig_10320,1725,3034,19.31733023
Lhav_v2_contig_10321,2475,1508,6.691858748
Lhav_v2_contig_10322,499,457,10.0585709
Lhav_v2_contig_10323,251,2,0.087513872
Lhav_v2_contig_10324,1337,1376,11.30336245
Lhav_v2_contig_10325,1759,7518,46.94151575
Lhav_v2_contig_10326,1035,1823,19.34492035
Lhav_v2_contig_10327,1470,3920,29.28797595
Lhav_v2_contig_10328,400,48,1.317958918
Lhav_v2_contig_10329,1554,1576,11.13847734
Lhav_v2_contig_1033,2156,152899,778.8906949
Lhav_v2_contig_10330,699,651,10.22879418
Lhav_v2_contig_10331,598,4014,73.7219495
Lhav_v2_contig_10332,220,4,0.199690745
Lhav_v2_contig_10333,2411,966,4.400484981
Lhav_v2_contig_10334,755,62,0.901914491
Lhav_v2_contig_10335,2873,4547,17.38240863
Lhav_v2_contig_10336,923,2070,24.6314099
Lhav_v2_contig_10337,1182,262,2.434470082
Lhav_v2_contig_10338,259,1,0.042405371
Lhav_v2_contig_10339,2039,822,4.427669734
Lhav_v2_contig_1034,552,7744,154.0802213
Lhav_v2_contig_10340,2501,21,0.092220236
Lhav_v2_contig_10341,388,100,2.830667779
Lhav_v2_contig_10342,722,5338,81.20111615
Lhav_v2_contig_10343,1943,1061,5.997402693
Lhav_v2_contig_10344,1004,515,5.633705534
Lhav_v2_contig_10345,301,150,5.47325132
Lhav_v2_contig_10346,200,348,19.11040431
Lhav_v2_contig_10347,334,1031,33.90258594
Lhav_v2_contig_10348,1779,3707,22.88586148
Lhav_v2_contig_10349,1203,3689,33.67934641
Lhav_v2_contig_1035,693,0,0
Lhav_v2_contig_10350,1956,2256,12.6674988
Lhav_v2_contig_10351,1823,4291,25.85190033
Lhav_v2_contig_10352,1564,4770,33.49671802
Lhav_v2_contig_10353,3167,5735,19.88868118
Lhav_v2_contig_10354,599,38,0.69675068
Lhav_v2_contig_10355,3782,10639,30.89583317
Lhav_v2_contig_10356,228,0,0
Lhav_v2_contig_10357,876,4695,58.86431811
Lhav_v2_contig_10358,1043,316,3.327540892
Lhav_v2_contig_10359,976,1748,19.6703568
Lhav_v2_contig_1036,652,2084,35.10514296
Lhav_v2_contig_10360,2590,1078,4.571298949
Lhav_v2_contig_10361,2208,1877,9.336537171
Lhav_v2_contig_10362,754,2837,41.32459604
