Contig ID,Size,Lmic_ech1,Lmic F ENV RPKM
Lmic_v1_contig_10393,223,1435,82.23352473
Lmic_v1_contig_10394,312,471,19.29159699
Lmic_v1_contig_10395,2326,6473,35.56294877
Lmic_v1_contig_10396,1529,1153,9.636596826
Lmic_v1_contig_10397,2069,3228,19.93769293
Lmic_v1_contig_10398,1435,392,3.49088895
Lmic_v1_contig_10399,396,301,9.71344258
Lmic_v1_contig_104,503,201969,5131.195925
Lmic_v1_contig_1040,2044,1479,9.246750727
Lmic_v1_contig_10400,1828,4708,32.91259535
Lmic_v1_contig_10401,491,2857,74.35849923
Lmic_v1_contig_10402,2243,2449,13.95280032
Lmic_v1_contig_10403,1547,1671,13.80346136
Lmic_v1_contig_10404,1016,938,11.7980708
Lmic_v1_contig_10405,1086,3970,46.71566647
Lmic_v1_contig_10406,3429,1780,6.633677967
Lmic_v1_contig_10407,1246,524,5.374215934
Lmic_v1_contig_10408,781,570,9.326650215
Lmic_v1_contig_10409,2316,1210,6.676497379
Lmic_v1_contig_1041,3731,4036,13.82381064
Lmic_v1_contig_10410,1525,958,8.027818277
Lmic_v1_contig_10411,1571,5244,42.65680912
Lmic_v1_contig_10412,1117,3587,41.03742208
Lmic_v1_contig_10413,1917,1504,10.02599748
Lmic_v1_contig_10414,1257,198,2.012944404
Lmic_v1_contig_10415,997,1085,13.90709584
Lmic_v1_contig_10416,1801,1354,9.607420935
Lmic_v1_contig_10417,2602,1235,6.065429134
Lmic_v1_contig_10418,5387,4674,11.08775447
Lmic_v1_contig_10419,282,57,2.583019084
Lmic_v1_contig_1042,606,49654,1047.088725
Lmic_v1_contig_10420,1301,155,1.522496382
Lmic_v1_contig_10421,1182,1072,11.58988633
Lmic_v1_contig_10422,1615,3444,27.25162999
Lmic_v1_contig_10423,885,848,12.24487762
Lmic_v1_contig_10424,685,1301,24.27105155
Lmic_v1_contig_10425,3029,1900,8.015972068
Lmic_v1_contig_10426,939,2075,28.23932921
Lmic_v1_contig_10427,527,1014,24.58833986
Lmic_v1_contig_10428,1806,2720,19.24655591
Lmic_v1_contig_10429,2064,3575,22.13442379
Lmic_v1_contig_1043,1286,10116,100.5239903
Lmic_v1_contig_10430,1369,1761,16.43833306
Lmic_v1_contig_10431,1508,703,5.957387517
Lmic_v1_contig_10432,3597,2734,9.71314652
Lmic_v1_contig_10433,1830,2138,14.92995431
Lmic_v1_contig_10434,2701,2088,9.87888154
Lmic_v1_contig_10435,2029,441,2.777527772
Lmic_v1_contig_10436,1583,3698,29.85299165
Lmic_v1_contig_10437,277,57,2.629643978
Lmic_v1_contig_10438,342,46,1.718832644
Lmic_v1_contig_10439,497,8498,218.5054157
Lmic_v1_contig_1044,726,32243,567.5455073
Lmic_v1_contig_10440,2541,1369,6.884947781
Lmic_v1_contig_10441,2412,1682,8.91149475
Lmic_v1_contig_10442,908,5348,75.26748725
Lmic_v1_contig_10443,295,77,3.335573976
Lmic_v1_contig_10444,956,74,0.989180839
Lmic_v1_contig_10445,1651,474,3.668876863
Lmic_v1_contig_10446,2914,4999,21.92277148
Lmic_v1_contig_10447,2565,1716,8.549324108
Lmic_v1_contig_10448,1487,4138,35.56160759
Lmic_v1_contig_10449,580,1449,31.92583461
Lmic_v1_contig_1045,1024,8541,106.5885693
Lmic_v1_contig_10450,757,53,0.894709106
Lmic_v1_contig_10451,1307,3743,36.59705234
Lmic_v1_contig_10452,1770,4309,31.1103642
Lmic_v1_contig_10453,1588,2450,19.71593846
Lmic_v1_contig_10454,2906,1595,7.014019113
Lmic_v1_contig_10455,361,774,27.39905766
Lmic_v1_contig_10456,2880,3663,16.25347765
Lmic_v1_contig_10457,2720,2392,11.23813226
Lmic_v1_contig_10458,384,1482,49.31952064
Lmic_v1_contig_10459,221,87,5.030704947
Lmic_v1_contig_1046,1460,10393,90.96827074
Lmic_v1_contig_10460,2178,2276,13.35414999
Lmic_v1_contig_10461,408,691,21.64311424
Lmic_v1_contig_10462,1689,1063,8.042766911
Lmic_v1_contig_10463,460,1052,29.22535369
Lmic_v1_contig_10464,1141,1942,21.75030988
Lmic_v1_contig_10465,2251,1566,8.890335086
Lmic_v1_contig_10466,240,472,25.13232253
Lmic_v1_contig_10467,656,529,10.30513535
Lmic_v1_contig_10468,308,105,4.356527403
Lmic_v1_contig_10469,873,770,11.27141263
Lmic_v1_contig_1047,1777,11339,81.54347124
Lmic_v1_contig_10470,1766,1995,14.43623916
Lmic_v1_contig_10471,1750,4015,29.31901452
Lmic_v1_contig_10472,1837,1817,12.64001643
Lmic_v1_contig_10473,795,3258,52.3703913
Lmic_v1_contig_10474,402,909,28.89613101
Lmic_v1_contig_10475,224,843,48.09295073
Lmic_v1_contig_10476,1362,742,6.961914178
Lmic_v1_contig_10477,314,136,5.534917193
Lmic_v1_contig_10478,2415,1136,6.011226107
Lmic_v1_contig_10479,2296,1221,6.795879158
Lmic_v1_contig_1048,1597,10842,86.75736525
Lmic_v1_contig_10480,982,510,6.636827897
Lmic_v1_contig_10481,993,1675,21.55596305
Lmic_v1_contig_10482,652,275,5.389977666
Lmic_v1_contig_10483,887,440,6.33914848
Lmic_v1_contig_10484,1168,1734,18.97178166
Lmic_v1_contig_10485,448,1402,39.99188429
Lmic_v1_contig_10486,415,970,29.86933166
Lmic_v1_contig_10487,1315,3070,29.83420642
Lmic_v1_contig_10488,1932,2409,15.93424702
Lmic_v1_contig_10489,1531,629,5.250217828
Lmic_v1_contig_1049,719,259,4.603336698
Lmic_v1_contig_10490,704,482,8.749359201
Lmic_v1_contig_10491,426,4672,140.1506456
Lmic_v1_contig_10492,1144,418,4.66930373
Lmic_v1_contig_10493,330,27,1.045566577
